id,hotelId,indicatorId,facilityId,roomId,rowIndex,colIndex,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
347,3,8,None,296,0,0,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
348,3,8,None,301,1,0,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
349,3,8,None,350,0,1,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
350,3,8,None,297,0,2,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
351,3,8,None,298,0,3,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
352,3,8,None,299,0,4,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
353,3,8,None,300,0,5,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
354,3,8,None,307,0,6,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
355,3,8,None,351,1,1,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
356,3,8,None,302,1,2,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
357,3,8,None,303,1,3,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
358,3,8,None,304,1,4,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
359,3,8,None,305,1,5,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
360,3,8,None,306,1,6,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
361,3,8,None,308,2,0,'2023-02-15 14:13:57.340241+09:00','2023-02-15 14:13:57.340241+09:00',None,None,None,None,None
