id,hotelId,rawData,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
179,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31485, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0g0v1gr@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
180,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31473, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'IY0873393735@0000000080'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
181,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31446, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3700726767@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
182,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31422, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'IY0873165356@0000000080'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
183,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31418, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0g0re1y@0000000061'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
184,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31386, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3943554199@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
185,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31328, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2854076031@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
186,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 31327, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2166421494@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
187,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31320, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBLY4G4GZO@0000000041'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
188,3,'{'startDate': '2023-02-10T00:00:00+09:00', 'endDate': '2023-02-11T00:00:00+09:00', 'roomBookingId': 31281, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2507705825@0000000030'}','room_booking_change_status','2023-02-11 03:00:00.289914+09:00','2023-02-11 03:00:00.289914+09:00',None,None,None,None,None
