id,hotelId,planRankId,dayOfWeek,tllRank,startDate,endDate,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
40,3,6,'monday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
41,3,6,'tuesday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
42,3,6,'wednesday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
43,3,6,'thursday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
44,3,6,'friday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
45,3,6,'saturday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
46,3,6,'sunday','A',None,None,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,None
47,3,7,'monday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
48,3,7,'tuesday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
49,3,7,'wednesday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
50,3,7,'thursday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
51,3,7,'friday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
52,3,7,'saturday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
53,3,7,'sunday','A',None,None,'2023-02-28 12:30:00.789252+09:00','2023-02-28 12:30:00.789252+09:00',None,None,None,None,None
