id,hotelId,planRoomTypeId,tllRank,peopleCount,price,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
1,2,1,'A',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
2,2,1,'B',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
3,2,1,'C',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
4,2,1,'D',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
5,2,1,'E',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
6,2,1,'F',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
7,2,1,'G',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
8,2,2,'A',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
9,2,2,'B',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
10,2,2,'C',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
11,2,2,'D',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
12,2,2,'E',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
13,2,2,'F',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
14,2,2,'G',0,10000,'2023-01-24 20:59:08.377886+09:00','2023-01-24 20:59:08.377886+09:00',None,None,None,None,None
400,3,116,'A',0,None,'2023-02-15 08:47:00.297014+09:00','2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None
401,3,116,'B',0,None,'2023-02-15 08:47:00.297014+09:00','2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None
402,3,116,'C',0,None,'2023-02-15 08:47:00.297014+09:00','2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None
403,3,116,'D',0,None,'2023-02-15 08:47:00.297014+09:00','2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None
404,3,116,'E',0,None,'2023-02-15 08:47:00.297014+09:00','2023-02-15 12:52:30.571439+09:00','2023-02-15 12:52:30.571439+09:00',None,None,None,None
