id,hotelId,receiptItemId,planSaleItemId,facilityTypeSaleItemId,saleItemId,saleItem,unitPrice,quantity,amount,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,boughtAt,payAt,taxId,tax,childrenTypeId,childrenType
208261,3,201183,None,None,None,None,3500,2,7000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-16 00:00:00+09:00',None,None,None,None,None
208262,3,201184,None,None,None,None,3500,2,7000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-17 00:00:00+09:00',None,None,None,None,None
208263,3,201185,None,None,None,None,None,None,14000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-18 00:00:00+09:00',None,None,None,None
208264,3,201186,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-29 00:00:00+09:00',None,None,None,None,None
208265,3,201187,None,None,None,None,None,None,8000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-10-29 00:00:00+09:00',None,None,None,None
208266,3,201188,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-12 00:00:00+09:00',None,None,None,None,None
208267,3,201189,None,None,None,None,None,None,8000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-13 00:00:00+09:00',None,None,None,None
208268,3,201190,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-29 00:00:00+09:00',None,None,None,None,None
208269,3,201191,None,None,None,None,None,None,8000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-10-30 00:00:00+09:00',None,None,None,None
208270,3,201192,None,None,None,None,3450,2,6900,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
208271,3,201193,None,None,None,None,3450,2,6900,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
208272,3,201194,None,None,None,None,None,None,13800,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
208273,3,201195,None,None,None,None,3450,2,6900,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-29 00:00:00+09:00',None,None,None,None,None
208274,3,201196,None,None,None,None,None,None,6900,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-10-30 00:00:00+09:00',None,None,None,None
208275,3,201197,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-28 00:00:00+09:00',None,None,None,None,None
208276,3,201198,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-29 00:00:00+09:00',None,None,None,None,None
208277,3,201199,None,None,None,None,None,None,13320,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-10-30 00:00:00+09:00',None,None,None,None
208278,3,201200,None,None,None,None,None,None,1480,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-10-30 00:00:00+09:00',None,None,None,None
208279,3,201201,None,None,None,None,7220,1,7220,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-12-17 00:00:00+09:00',None,None,None,None,None
208280,3,201202,None,None,None,None,None,None,7220,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-12-18 00:00:00+09:00',None,None,None,None
208281,3,201203,None,None,None,None,6400,1,6400,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-09 00:00:00+09:00',None,None,None,None,None
208282,3,201204,None,None,None,None,None,None,6400,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-10 00:00:00+09:00',None,None,None,None
208283,3,201205,None,None,None,None,4400,2,8800,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-10-28 00:00:00+09:00',None,None,None,None,None
208284,3,201206,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-12-02 00:00:00+09:00',None,None,None,None,None
208285,3,201207,None,None,None,None,None,None,8000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-12-03 00:00:00+09:00',None,None,None,None
208286,3,201208,None,None,None,None,6400,1,6400,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-10 00:00:00+09:00',None,None,None,None,None
208287,3,201209,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-11 00:00:00+09:00',None,None,None,None,None
208288,3,201210,None,None,None,None,None,None,13800,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-12 00:00:00+09:00',None,None,None,None
208289,3,201211,None,None,None,None,7500,1,7500,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
208290,3,201212,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
208291,3,201213,None,None,None,None,None,None,8000,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
208292,3,201214,None,None,None,None,7500,1,7500,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-10 00:00:00+09:00',None,None,None,None,None
208293,3,201215,None,None,None,None,8800,1,8800,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-11 00:00:00+09:00',None,None,None,None,None
208294,3,201216,None,None,None,None,9800,1,9800,'stay_price','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,'2022-11-12 00:00:00+09:00',None,None,None,None,None
208295,3,201217,None,None,None,None,None,None,26100,'payment','2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,None,None,'2022-11-13 00:00:00+09:00',None,None,None,None
209522,3,202441,None,None,None,None,6800,1,6800,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-01 00:00:00+09:00',None,None,None,None,None
209523,3,202442,None,None,None,None,None,None,6800,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-02 00:00:00+09:00',None,None,None,None
209524,3,202443,None,None,None,None,10100,1,10100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
209525,3,202444,None,None,None,None,10100,1,10100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
209526,3,202445,None,None,None,None,6800,1,6800,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None,None
209527,3,202446,None,None,None,None,None,None,27000,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-28 00:00:00+09:00',None,None,None,None
209528,3,202447,None,None,None,None,5052,2,10104,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
209529,3,202448,None,None,None,None,None,None,10104,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-06 00:00:00+09:00',None,None,None,None
209530,3,202449,None,None,None,None,3500,2,7000,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-10-31 00:00:00+09:00',None,None,None,None,None
209531,3,202450,None,None,None,None,None,None,7000,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-01 00:00:00+09:00',None,None,None,None
209532,3,202451,None,None,None,None,4650,2,9300,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-12-16 00:00:00+09:00',None,None,None,None,None
209533,3,202452,None,None,None,None,6050,2,12100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-12-17 00:00:00+09:00',None,None,None,None,None
209534,3,202453,None,None,None,None,None,None,21400,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-12-18 00:00:00+09:00',None,None,None,None
209535,3,202454,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
209536,3,202455,None,None,None,None,None,None,8000,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None
209537,3,202456,None,None,None,None,6400,1,6400,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-24 00:00:00+09:00',None,None,None,None,None
209538,3,202457,None,None,None,None,None,None,6400,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None
209539,3,202458,None,None,None,None,8100,1,8100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-12-02 00:00:00+09:00',None,None,None,None,None
209540,3,202459,None,None,None,None,7439,1,7439,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
209541,3,202460,None,None,None,None,7590,1,7590,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
209542,3,202461,None,None,None,None,5336,1,5336,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None,None
209543,3,202462,None,None,None,None,None,None,20365,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-28 00:00:00+09:00',None,None,None,None
209544,3,202463,None,None,None,None,6050,2,12100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
209545,3,202464,None,None,None,None,None,None,12100,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
209546,3,202465,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
209547,3,202466,None,None,None,None,None,None,7400,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None
209548,3,202467,None,None,None,None,7400,1,7400,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-25 00:00:00+09:00',None,None,None,None,None
209549,3,202468,None,None,None,None,None,None,7400,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None
209550,3,202469,None,None,None,None,6050,2,12100,'stay_price','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
209551,3,202470,None,None,None,None,None,None,11495,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
209552,3,202471,None,None,None,None,None,None,605,'payment','2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
