id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
201183,3,64160,'room_booking_item',69644,'receipt',None,None,None,7000,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23024840,None
201184,3,64160,'room_booking_item',69644,'receipt',None,None,None,7000,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23024841,None
201185,3,64160,'room_booking_item',69644,'payment',None,None,None,14000,27,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23024842,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201186,3,64161,'room_booking_item',69645,'receipt',None,None,None,8000,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027536,None
201187,3,64161,'room_booking_item',69645,'payment',None,None,None,8000,82,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23467529,'{'id': 82, 'name': '現金', 'hotelId': 3, 'inntoDataId': 49650, 'autoGeneratedCode': '0003000003'}'
201188,3,64162,'room_booking_item',69646,'receipt',None,None,None,8000,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027654,None
201189,3,64162,'room_booking_item',69646,'payment',None,None,None,8000,27,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027655,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201190,3,64163,'room_booking_item',69647,'receipt',None,None,None,8000,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027656,None
201191,3,64163,'room_booking_item',69647,'payment',None,None,None,8000,27,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027657,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201192,3,64164,'room_booking_item',69648,'receipt',None,None,None,6900,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,23027659,None
