id,hotelId,bookingType,bookingId,otherTaxPercentage,roomBookingReceiptId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
64160,3,'room_booking',64155,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5898271
64161,3,'room_booking',64156,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5899153
64162,3,'room_booking',64157,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5899182
64163,3,'room_booking',64158,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5899183
64164,3,'room_booking',64159,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5899185
64165,3,'room_booking',64160,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5900187
64166,3,'room_booking',64161,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5900797
64167,3,'room_booking',64162,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5900800
64168,3,'room_booking',64163,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5900802
64169,3,'room_booking',64164,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5901114
64170,3,'room_booking',64165,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5901116
64171,3,'room_booking',64166,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5901119
64172,3,'room_booking',64167,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5901123
64173,3,'room_booking',64168,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5901257
64174,3,'room_booking',64169,None,None,'2023-02-28 10:14:59.315713+09:00','2023-02-28 10:14:59.315713+09:00',None,None,None,None,5903157
65420,3,'room_booking',65415,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6193761
65421,3,'room_booking',65416,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6194147
65422,3,'room_booking',65417,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6195651
65423,3,'room_booking',65418,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6195724
65424,3,'room_booking',65419,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6195943
65425,3,'room_booking',65420,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6196186
65426,3,'room_booking',65421,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6196302
65427,3,'room_booking',65422,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6197434
65428,3,'room_booking',65423,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6197655
65429,3,'room_booking',65424,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198086
65430,3,'room_booking',65425,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198533
65431,3,'room_booking',65426,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198632
65432,3,'room_booking',65427,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198757
65433,3,'room_booking',65428,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6198968
65434,3,'room_booking',65429,None,None,'2023-02-28 10:22:47.718088+09:00','2023-02-28 10:22:47.718088+09:00',None,None,None,None,6199267
65435,3,'room_booking',65430,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6200301
65436,3,'room_booking',65431,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6200884
65437,3,'room_booking',65432,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6200981
65438,3,'room_booking',65433,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6201073
65439,3,'room_booking',65434,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6201416
65440,3,'room_booking',65435,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6201504
65441,3,'room_booking',65436,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6201761
65442,3,'room_booking',65437,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6202108
65443,3,'room_booking',65438,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6202282
65444,3,'room_booking',65439,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203016
65445,3,'room_booking',65440,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203157
65446,3,'room_booking',65441,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203453
65447,3,'room_booking',65442,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203454
65448,3,'room_booking',65443,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203455
65449,3,'room_booking',65444,None,None,'2023-02-28 10:22:53.222786+09:00','2023-02-28 10:22:53.222786+09:00',None,None,None,None,6203939
66950,3,'room_booking',66945,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6580723
66951,3,'room_booking',66946,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6580791
66952,3,'room_booking',66947,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6581164
66953,3,'room_booking',66948,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6581583
66954,3,'room_booking',66949,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6582219
66955,3,'room_booking',66950,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6582564
66956,3,'room_booking',66951,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6582640
66957,3,'room_booking',66952,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6582914
66958,3,'room_booking',66953,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6582969
66959,3,'room_booking',66954,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6583283
66960,3,'room_booking',66955,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6583886
66961,3,'room_booking',66956,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6584650
66962,3,'room_booking',66957,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6584711
66963,3,'room_booking',66958,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6584712
66964,3,'room_booking',66959,None,None,'2023-02-28 10:32:36.623147+09:00','2023-02-28 10:32:36.623147+09:00',None,None,None,None,6586092
66965,3,'room_booking',66960,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6586093
66966,3,'room_booking',66961,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6586328
66967,3,'room_booking',66962,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6586659
66968,3,'room_booking',66963,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6587108
66969,3,'room_booking',66964,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6587110
66970,3,'room_booking',66965,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6587406
66971,3,'room_booking',66966,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6587408
66972,3,'room_booking',66967,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6587622
66973,3,'room_booking',66968,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6588039
66974,3,'room_booking',66969,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6588137
66975,3,'room_booking',66970,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6588238
66976,3,'room_booking',66971,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6589006
66977,3,'room_booking',66972,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6589224
66978,3,'room_booking',66973,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6589331
66979,3,'room_booking',66974,None,None,'2023-02-28 10:32:42.550897+09:00','2023-02-28 10:32:42.550897+09:00',None,None,None,None,6590286
66980,3,'room_booking',66975,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6590647
66981,3,'room_booking',66976,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6590648
66982,3,'room_booking',66977,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6590985
66983,3,'room_booking',66978,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6591075
66984,3,'room_booking',66979,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6591451
66985,3,'room_booking',66980,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592003
66986,3,'room_booking',66981,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592005
66987,3,'room_booking',66982,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592063
66988,3,'room_booking',66983,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592872
66989,3,'room_booking',66984,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6592896
66990,3,'room_booking',66985,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6593656
66991,3,'room_booking',66986,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6593788
66992,3,'room_booking',66987,None,None,'2023-02-28 10:32:48.407612+09:00','2023-02-28 10:32:48.407612+09:00',None,None,None,None,6594077
