id,hotelId,name,roomTypeId,autoGeneratedCode,cleaningStatus,memo,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
296,3,'201',23,'0003000001','uncleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-17 03:00:00.259522+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92415
299,3,'206',25,'0003000004','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92419
297,3,'203',25,'0003000002','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92417
298,3,'205',24,'0003000003','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92418
300,3,'207',25,'0003000005','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92420
302,3,'303',25,'0003000007','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92424
303,3,'305',24,'0003000008','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92425
304,3,'306',25,'0003000009','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92426
305,3,'307',25,'0003000010','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92427
306,3,'308',23,'0003000011','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92428
307,3,'208',23,'0003000012','cleaned',None,'2023-02-14 13:32:08.728526+09:00','2023-02-15 17:30:20.134046+09:00',None,None,'889ff7be-3a4f-4ce1-a4a1-b6f022f611aa',None,92429
