id,hotelId,type,roomTypeId,facilityTypeId,stoppingRoomCount,startDate,endDate,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
57,3,'room_type',25,None,1,'2024-01-01 15:00:00+09:00','2025-01-01 11:00:00+09:00','2023-02-15 17:23:24.963404+09:00','2023-02-15 17:23:24.963404+09:00',None,None,None,None,None
58,3,'room_type',25,None,1,'2025-01-01 15:00:00+09:00','2026-01-01 11:00:00+09:00','2023-02-15 17:24:09.793236+09:00','2023-02-15 17:24:18.094845+09:00','2023-02-15 17:24:18.094845+09:00',None,None,None,None
59,3,'room_type',25,None,1,'2025-01-01 15:00:00+09:00','2026-01-01 11:00:00+09:00','2023-02-15 17:24:18.094845+09:00','2023-02-15 17:24:18.094845+09:00',None,None,None,None,None
53,3,'room_type',25,None,4,'2023-02-15 15:00:00+09:00','2023-04-01 11:00:00+09:00','2023-02-15 17:19:29.600398+09:00','2023-02-28 10:55:52.009230+09:00','2023-02-28 10:55:52.009230+09:00',None,None,None,None
55,3,'room_type',25,None,3,'2023-04-01 15:00:00+09:00','2023-05-01 11:00:00+09:00','2023-02-15 17:22:41.653609+09:00','2023-02-28 10:55:52.009230+09:00','2023-02-28 10:55:52.009230+09:00',None,None,None,None
60,3,'room_type',25,None,3,'2023-04-01 00:00:00+09:00','2023-05-01 23:59:59.999000+09:00','2023-02-28 10:55:52.009230+09:00','2023-02-28 11:33:11.084828+09:00','2023-02-28 11:33:11.084828+09:00',None,None,None,None
62,3,'room_type',25,None,3,'2023-04-01 00:00:00+09:00','2023-05-01 23:59:59.999000+09:00','2023-02-28 11:33:11.084828+09:00','2023-02-28 11:37:00.129520+09:00','2023-02-28 11:37:00.129520+09:00',None,None,None,None
29,3,'room_type',25,None,2,'2023-02-14 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:35:58.720623+09:00','2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:05.090064+09:00',None,None,None,None
30,3,'room_type',25,None,2,'2023-02-15 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:25.089949+09:00','2023-02-14 14:39:25.089949+09:00',None,None,None,None
31,3,'room_type',25,None,2,'2023-02-16 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:39:25.089949+09:00','2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:14.689747+09:00',None,None,None,None
32,3,'room_type',25,None,2,'2023-02-17 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:43.458537+09:00','2023-02-14 14:40:43.458537+09:00',None,None,None,None
33,3,'room_type',25,None,2,'2023-02-18 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:40:43.458537+09:00','2023-02-14 14:41:08.318138+09:00','2023-02-14 14:41:08.318138+09:00',None,None,None,None
34,3,'room_type',25,None,1,'2023-02-14 15:00:00+09:00','2023-02-19 10:00:00+09:00','2023-02-14 14:46:28.242219+09:00','2023-02-14 14:49:03.939107+09:00','2023-02-14 14:49:03.939107+09:00',None,None,None,None
35,3,'room_type',25,None,2,'2023-02-14 15:00:00+09:00','2023-02-19 10:00:00+09:00','2023-02-14 14:49:03.939107+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:50:46.827839+09:00',None,None,None,None
36,3,'room_type',25,None,1,'2023-02-19 15:00:00+09:00','2023-03-01 10:00:00+09:00','2023-02-14 14:49:03.939107+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:50:46.827839+09:00',None,None,None,None
38,3,'room_type',25,None,4,'2023-02-14 15:00:00+09:00','2023-02-19 10:00:00+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
39,3,'room_type',25,None,3,'2023-02-19 15:00:00+09:00','2023-03-01 10:00:00+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
37,3,'room_type',25,None,1,'2023-03-01 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 14:49:53.741018+09:00','2023-02-14 14:53:22.873121+09:00','2023-02-14 14:53:22.873121+09:00',None,None,None,None
40,3,'room_type',25,None,4,'2023-02-14 15:00:00+09:00','2023-03-01 10:00:00+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:57:28.985650+09:00',None,None,None,None
43,3,'room_type',25,None,1,'2023-02-14 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:59:02.855843+09:00','2023-02-14 14:59:02.855843+09:00',None,None,None,None
41,3,'room_type',25,None,3,'2023-03-01 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 14:53:22.873121+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:00:58.968163+09:00',None,None,None,None
44,3,'room_type',25,None,3,'2023-02-14 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 14:59:02.855843+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-14 15:01:59.189255+09:00',None,None,None,None
46,3,'room_type',25,None,3,'2023-03-01 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:03:18.412430+09:00','2023-02-14 15:03:18.412430+09:00',None,None,None,None
48,3,'room_type',25,None,3,'2023-02-15 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-14 15:03:18.412430+09:00','2023-02-14 15:03:18.412430+09:00',None,None,None,None
45,3,'room_type',25,None,2,'2023-04-01 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:04:56.328203+09:00','2023-02-14 15:04:56.328203+09:00',None,None,None,None
42,3,'room_type',25,None,1,'2023-05-01 15:00:00+09:00','2024-01-01 10:00:00+09:00','2023-02-14 14:55:51.402141+09:00','2023-02-15 17:17:12.798768+09:00','2023-02-15 17:17:12.798768+09:00',None,None,None,None
47,3,'room_type',25,None,4,'2023-02-15 15:00:00+09:00','2023-03-01 10:00:00+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-15 17:17:12.798768+09:00','2023-02-15 17:17:12.798768+09:00',None,None,None,None
49,3,'room_type',25,None,4,'2023-03-01 15:00:00+09:00','2023-04-01 10:00:00+09:00','2023-02-14 15:03:18.412430+09:00','2023-02-15 17:17:12.798768+09:00','2023-02-15 17:17:12.798768+09:00',None,None,None,None
50,3,'room_type',25,None,3,'2023-04-01 15:00:00+09:00','2023-05-01 10:00:00+09:00','2023-02-14 15:04:56.328203+09:00','2023-02-15 17:17:12.798768+09:00','2023-02-15 17:17:12.798768+09:00',None,None,None,None
51,3,'room_type',25,None,1,'2024-01-01 15:00:00+09:00','2025-01-01 10:00:00+09:00','2023-02-14 15:06:23.333995+09:00','2023-02-15 17:17:12.798768+09:00','2023-02-15 17:17:12.798768+09:00',None,None,None,None
