id,stoppingInventoryId,hotelId,roomId,facilityId,reason,memo,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
60,29,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:35:58.720623+09:00','2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:05.090064+09:00',None,None,None,None
61,29,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:35:58.720623+09:00','2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:05.090064+09:00',None,None,None,None
62,30,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:25.089949+09:00','2023-02-14 14:39:25.089949+09:00',None,None,None,None
63,30,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:39:05.090064+09:00','2023-02-14 14:39:25.089949+09:00','2023-02-14 14:39:25.089949+09:00',None,None,None,None
64,31,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:39:25.089949+09:00','2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:14.689747+09:00',None,None,None,None
65,31,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:39:25.089949+09:00','2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:14.689747+09:00',None,None,None,None
66,32,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:43.458537+09:00','2023-02-14 14:40:43.458537+09:00',None,None,None,None
67,32,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:40:14.689747+09:00','2023-02-14 14:40:43.458537+09:00','2023-02-14 14:40:43.458537+09:00',None,None,None,None
68,33,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:40:43.458537+09:00','2023-02-14 14:41:08.321029+09:00','2023-02-14 14:41:08.321029+09:00',None,None,None,None
69,33,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:40:43.458537+09:00','2023-02-14 14:41:08.321029+09:00','2023-02-14 14:41:08.321029+09:00',None,None,None,None
70,34,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:46:28.242219+09:00','2023-02-14 14:49:03.939107+09:00','2023-02-14 14:49:03.939107+09:00',None,None,None,None
71,35,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:49:03.939107+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:50:46.827839+09:00',None,None,None,None
72,35,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:49:03.939107+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:50:46.827839+09:00',None,None,None,None
73,36,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:49:03.939107+09:00','2023-02-14 14:50:46.827839+09:00','2023-02-14 14:50:46.827839+09:00',None,None,None,None
75,38,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
76,38,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
77,38,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
78,38,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
79,39,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
80,39,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
81,39,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:50:46.827839+09:00','2023-02-14 14:51:19.010284+09:00','2023-02-14 14:51:19.010284+09:00',None,None,None,None
74,37,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:49:53.741018+09:00','2023-02-14 14:53:22.873121+09:00','2023-02-14 14:53:22.873121+09:00',None,None,None,None
82,40,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:51:19.010284+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:57:28.985650+09:00',None,None,None,None
83,40,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:51:19.010284+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:57:28.985650+09:00',None,None,None,None
84,40,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:51:19.010284+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:57:28.985650+09:00',None,None,None,None
85,40,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:51:19.010284+09:00','2023-02-14 14:57:28.985650+09:00','2023-02-14 14:57:28.985650+09:00',None,None,None,None
90,43,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:57:28.985650+09:00','2023-02-14 14:59:02.855843+09:00','2023-02-14 14:59:02.855843+09:00',None,None,None,None
86,41,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:53:22.873121+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:00:58.968163+09:00',None,None,None,None
87,41,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:53:22.873121+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:00:58.968163+09:00',None,None,None,None
88,41,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:53:22.873121+09:00','2023-02-14 15:00:58.968163+09:00','2023-02-14 15:00:58.968163+09:00',None,None,None,None
91,44,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:59:02.855843+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-14 15:01:59.189255+09:00',None,None,None,None
92,44,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:59:02.855843+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-14 15:01:59.189255+09:00',None,None,None,None
93,44,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 14:59:02.855843+09:00','2023-02-14 15:01:59.189255+09:00','2023-02-14 15:01:59.189255+09:00',None,None,None,None
96,46,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 15:00:58.968163+09:00','2023-02-14 15:03:18.412430+09:00','2023-02-14 15:03:18.412430+09:00',None,None,None,None
97,46,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-02-14 15:00:58.968163+09:00','2023-02-14 15:03:18.412430+09:00','2023-02-14 15:03:18.412430+09:00',None,None,None,None
