id,hotelId,name,type,isActive,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
59,3,'課税8%','tax2',True,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,1
58,3,'課税10%','tax1',True,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,17
60,3,'非課税','tax3',True,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,2
42,3,None,'bathTax2',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,3
43,3,None,'bathTax3',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,4
44,3,None,'bathTax4',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,5
41,3,None,'bathTax1',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,6
56,3,'宿泊税（東京１００００)','localTax1',True,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,7
57,3,'宿泊税（東京１5０００)','localTax2',True,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,8
50,3,None,'bathTax10',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,9
48,3,None,'bathTax8',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,10
49,3,None,'bathTax9',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,11
45,3,None,'bathTax5',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,12
46,3,None,'bathTax6',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,13
47,3,None,'bathTax7',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,14
54,3,None,'bathTax16',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,15
55,3,None,'bathTax17',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,16
51,3,None,'bathTax13',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,18
52,3,None,'bathTax14',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,19
53,3,None,'bathTax15',False,'2023-02-09 21:16:23.270201+09:00','2023-02-09 21:16:23.270201+09:00',None,None,None,None,20
